,Year,CDZ_start,CDZ_end,CDZ_div,XIU_start,XIU_end,XIU_div,XDV_start,XDV_end,XDV_div,XTR_start,XTR_end,XTR_div
0,2010,12.566975593566895,14.124794960021973,0.6860000000000002,13.054414749145508,14.544392585754395,0.44599999999999995,12.31455135345459,13.337571144104004,0.7410000000000001,12.566975593566895,14.124794960021973,0.6860000000000002
1,2011,14.124794960021973,14.983680725097656,0.6880000000000002,14.484074592590332,13.18984603881836,0.44299999999999995,13.31817626953125,13.818380355834961,0.8120000000000002,14.124794960021973,14.983680725097656,0.6880000000000002
2,2012,15.110237121582031,16.308794021606445,0.7240000000000002,13.498918533325195,14.235130310058594,0.482,13.979697227478027,15.043415069580078,0.9059999999999998,15.110237121582031,16.308794021606445,0.7240000000000002
3,2013,16.490482330322266,18.52670669555664,0.8549999999999999,14.354292869567871,16.094898223876953,0.529,15.078518867492676,17.896268844604492,0.9609999999999999,16.490482330322266,18.52670669555664,0.8549999999999999
4,2014,18.45886993408203,20.929000854492188,0.8099999999999998,16.062196731567383,18.017200469970703,0.5690000000000001,17.793760299682617,18.983388900756836,0.9599999999999999,18.45886993408203,20.929000854492188,0.8099999999999998
5,2015,20.99119758605957,18.516054153442383,0.9209999999999998,18.193431854248047,16.61147117614746,0.613,19.135498046875,16.564414978027344,0.9929999999999997,20.99119758605957,18.516054153442383,0.9209999999999998
6,2016,18.33863067626953,22.399276733398438,1.008,16.4904727935791,19.98619842529297,0.45399999999999996,16.492956161499023,20.484066009521484,0.9659999999999999,18.33863067626953,22.399276733398438,1.008
7,2017,22.516937255859375,23.5639705657959,0.9959999999999998,20.136272430419922,21.90150260925293,0.624,20.616758346557617,22.749603271484375,0.9629999999999999,22.516937255859375,23.5639705657959,0.9959999999999998
8,2018,23.633785247802734,21.54695701599121,1.1109999999999998,22.001264572143555,20.188798904418945,0.688,22.732370376586914,19.909452438354492,1.086,23.633785247802734,21.54695701599121,1.1109999999999998
9,2019,21.59253692626953,27.161327362060547,1.131,20.198135375976562,24.591279983520508,0.7330000000000001,19.95452117919922,24.149633407592773,1.0799999999999998,21.59253692626953,27.161327362060547,1.131
10,2020,27.085275650024414,26.35767936706543,1.0559999999999998,24.65862464904785,25.887414932250977,0.7890000000000001,24.17787742614746,24.058422088623047,1.159,27.085275650024414,26.35767936706543,1.0559999999999998
11,2021,26.33779525756836,29.329999923706055,0.158,26.036365509033203,28.43000030517578,0.194,23.988916397094727,27.15999984741211,0.178,26.33779525756836,29.329999923706055,0.158
