CareerArea_Parsed,CareerArea_Tagged,Distribution
2,1,0.001
2,2,0.715
2,3,0.039
2,4,0.009
2,5,0.001
2,6,0.02
2,8,0.006
2,9,0.005
2,10,0.004
2,11,0.007
2,12,0.014
2,13,0.024
2,15,0.006
2,16,0.017
2,17,0.039
2,18,0.019
2,19,0.003
2,21,0.001
2,22,0.005
2,23,0.009
2,24,0.011
2,25,0.025
2,26,0.02
3,1,0.003
3,2,0.002
3,3,0.811
3,4,0.014
3,5,0.003
3,6,0.013
3,9,0.002
3,10,0.004
3,11,0.01
3,12,0.006
3,13,0.013
3,14,0.004
3,15,0.035
3,16,0.003
3,17,0.007
3,18,0.01
3,19,0.006
3,23,0.01
3,24,0.032
3,25,0.001
3,26,0.011
4,1,0.005
4,2,0.001
4,3,0.045
4,4,0.714
4,5,0.008
4,6,0.005
4,7,0.029
4,9,0.014
4,11,0.029
4,12,0.053
4,13,0.008
4,14,0.014
4,15,0.011
4,16,0.02
4,17,0.004
4,18,0.003
4,19,0.002
4,22,0.001
4,23,0.003
4,24,0.027
4,26,0.004
5,1,0.003
5,3,0.037
5,4,0.013
5,5,0.681
5,6,0.002
5,7,0.005
5,8,0.003
5,9,0.037
5,11,0.008
5,12,0.129
5,13,0.006
5,14,0.011
5,15,0.014
5,16,0.012
5,17,0.001
5,19,0.005
5,22,0.015
5,23,0.004
5,24,0.009
5,25,0.001
5,26,0.004
6,1,0.001
6,2,0.01
6,3,0.09
6,4,0.003
6,5,0.001
6,6,0.74
6,8,0.002
6,9,0.001
6,10,0.024
6,11,0.008
6,12,0.004
6,13,0.005
6,15,0.021
6,16,0.002
6,17,0.025
6,18,0.043
6,19,0.004
6,21,0.004
6,22,0.002
6,23,0.001
6,24,0.003
6,25,0.001
6,26,0.004
6,NULL,0.001
7,3,0.004
7,4,0.019
7,5,0.006
7,6,0.004
7,7,0.799
7,8,0.002
7,10,0.001
7,11,0.017
7,12,0.01
7,13,0.02
7,14,0.001
7,15,0.018
7,16,0.003
7,17,0.007
7,18,0.001
7,19,0.005
7,22,0.002
7,23,0.002
7,24,0.076
7,26,0.002
7,NULL,0.001
8,1,0.004
8,3,0.026
8,4,0.01
8,5,0.003
8,6,0.002
8,7,0.005
8,8,0.668
8,9,0.019
8,10,0.022
8,11,0.009
8,12,0.012
8,13,0.016
8,14,0.001
8,15,0.106
8,16,0.007
8,17,0.007
8,18,0.008
8,19,0.034
8,21,0.005
8,22,0.005
8,23,0.013
8,24,0.012
8,25,0.004
8,26,0.002
9,1,0.007
9,2,0.001
9,3,0.027
9,4,0.013
9,5,0.043
9,6,0.005
9,8,0.013
9,9,0.738
9,10,0.004
9,11,0.01
9,12,0.059
9,13,0.013
9,14,0.008
9,15,0.012
9,16,0.003
9,17,0.003
9,18,0.001
9,19,0.009
9,21,0.001
9,22,0.002
9,23,0.008
9,24,0.006
9,25,0.01
9,26,0.002
9,NULL,0.002
10,2,0.003
10,3,0.024
10,4,0.004
10,5,0.002
10,6,0.016
10,8,0.001
10,9,0.007
10,10,0.728
10,11,0.003
10,12,0.009
10,13,0.004
10,14,0.001
10,15,0.067
10,16,0.003
10,17,0.085
10,18,0.009
10,19,0.003
10,21,0.002
10,22,0.001
10,23,0.004
10,24,0.003
10,25,0.008
10,26,0.003
10,NULL,0.01
11,2,0.001
11,3,0.016
11,4,0.021
11,5,0.002
11,7,0.007
11,8,0.002
11,10,0.002
11,11,0.876
11,12,0.003
11,13,0.004
11,14,0.014
11,15,0.014
11,16,0.005
11,17,0.001
11,18,0.002
11,19,0.002
11,23,0.011
11,24,0.014
11,25,0.001
11,26,0.002
12,3,0.009
12,4,0.009
12,5,0.01
12,6,0.002
12,7,0.003
12,8,0.001
12,9,0.004
12,10,0.003
12,11,0.008
12,12,0.926
12,13,0.001
12,14,0.001
12,15,0.003
12,16,0.004
12,17,0.004
12,18,0.001
12,19,0.001
12,22,0.002
12,23,0.001
12,24,0.002
12,25,0.003
12,26,0.002
13,1,0.001
13,2,0.007
13,3,0.019
13,4,0.004
13,5,0.009
13,6,0.005
13,7,0.006
13,8,0.001
13,9,0.001
13,10,0.003
13,11,0.006
13,12,0.028
13,13,0.84
13,14,0.003
13,15,0.002
13,16,0.003
13,17,0.005
13,18,0.007
13,22,0.004
13,23,0.003
13,24,0.034
13,25,0.001
13,26,0.007
13,NULL,0.001
14,1,0.008
14,2,0.002
14,3,0.043
14,4,0.015
14,5,0.018
14,6,0.004
14,7,0.007
14,8,0.003
14,9,0.01
14,10,0.006
14,11,0.024
14,12,0.017
14,13,0.003
14,14,0.698
14,15,0.056
14,16,0.008
14,17,0.007
14,18,0.001
14,19,0.009
14,21,0.001
14,22,0.002
14,23,0.034
14,24,0.017
14,25,0.003
14,26,0.003
14,NULL,0.001
15,1,0.001
15,3,0.019
15,4,0.004
15,5,0.001
15,6,0.003
15,8,0.005
15,9,0.006
15,10,0.017
15,11,0.018
15,12,0.005
15,13,0.002
15,14,0.006
15,15,0.873
15,16,0.004
15,17,0.007
15,18,0.003
15,19,0.001
15,21,0.001
15,23,0.021
15,24,0.001
15,25,0.002
16,1,0.001
16,2,0.002
16,3,0.008
16,4,0.008
16,5,0.002
16,6,0.002
16,7,0.003
16,8,0.002
16,9,0.005
16,10,0.002
16,11,0.024
16,12,0.004
16,13,0.006
16,14,0.009
16,15,0.023
16,16,0.866
16,17,0.006
16,18,0.003
16,21,0.001
16,23,0.004
16,24,0.009
16,25,0.009
16,26,0.001
17,2,0.008
17,3,0.041
17,4,0.005
17,5,0.005
17,6,0.031
17,7,0.009
17,8,0.003
17,9,0.001
17,10,0.026
17,11,0.004
17,12,0.013
17,13,0.033
17,14,0.001
17,15,0.028
17,16,0.001
17,17,0.739
17,18,0.007
17,19,0.001
17,22,0.001
17,23,0.007
17,24,0.016
17,25,0.003
17,26,0.009
17,NULL,0.008
18,2,0.003
18,3,0.072
18,4,0.009
18,5,0.004
18,6,0.062
18,8,0.041
18,9,0.004
18,10,0.029
18,11,0.009
18,12,0.011
18,13,0.014
18,14,0.002
18,15,0.03
18,16,0.001
18,17,0.013
18,18,0.652
18,19,0.004
18,21,0.009
18,22,0.003
18,23,0.002
18,24,0.011
18,25,0.011
18,26,0.003
18,NULL,0.001
19,1,0.002
19,3,0.053
19,4,0.01
19,5,0.006
19,6,0.003
19,7,0.005
19,8,0.022
19,9,0.004
19,11,0.016
19,12,0.005
19,13,0.008
19,14,0.008
19,15,0.047
19,16,0.001
19,18,0.002
19,19,0.744
19,22,0.001
19,23,0.03
19,24,0.028
19,25,0.005
21,1,0.01
21,2,0.001
21,3,0.041
21,4,0.008
21,5,0.024
21,6,0.007
21,7,0.006
21,8,0.045
21,9,0.064
21,10,0.013
21,11,0.022
21,12,0.029
21,13,0.063
21,14,0.005
21,15,0.027
21,16,0.007
21,17,0.004
21,18,0.02
21,19,0.005
21,21,0.569
21,22,0.005
21,23,0.007
21,24,0.012
21,25,0.003
21,26,0.003
22,1,0.002
22,2,0.001
22,3,0.012
22,4,0.002
22,5,0.003
22,6,0.001
22,7,0.001
22,8,0.002
22,9,0.005
22,10,0.002
22,12,0.013
22,13,0.013
22,14,0.001
22,16,0.001
22,17,0.002
22,18,0.004
22,19,0.001
22,21,0.001
22,22,0.92
22,24,0.006
22,25,0.004
22,26,0.003
23,1,0.001
23,2,0.001
23,3,0.028
23,4,0.006
23,5,0.004
23,6,0.003
23,8,0.006
23,9,0.006
23,10,0.003
23,11,0.032
23,12,0.023
23,13,0.001
23,14,0.013
23,15,0.081
23,16,0.001
23,17,0.001
23,19,0.007
23,21,0.001
23,23,0.731
23,24,0.004
23,25,0.046
23,26,0.001
24,1,0.002
24,2,0.004
24,3,0.041
24,4,0.013
24,5,0.005
24,6,0.001
24,7,0.026
24,8,0.003
24,9,0.005
24,10,0.001
24,11,0.017
24,12,0.006
24,13,0.038
24,14,0.01
24,15,0.011
24,16,0.001
24,17,0.007
24,18,0.004
24,19,0.014
24,21,0.001
24,22,0.012
24,23,0.016
24,24,0.759
24,25,0.002
24,26,0.001
25,1,0.002
25,2,0.002
25,3,0.025
25,4,0.005
25,5,0.002
25,6,0.002
25,8,0.01
25,9,0.017
25,10,0.037
25,11,0.017
25,12,0.025
25,13,0.004
25,14,0.001
25,15,0.04
25,16,0.011
25,17,0.003
25,18,0.018
25,19,0.006
25,21,0.003
25,22,0.001
25,23,0.068
25,24,0.002
25,25,0.699
26,3,0.006
26,5,0.001
26,6,0.005
26,9,0.001
26,10,0.001
26,11,0.001
26,12,0.003
26,13,0.004
26,14,0.006
26,15,0.003
26,17,0.003
26,18,0.023
26,19,0.001
26,24,0.01
26,26,0.932
